task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	7d/8950c9	7285	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz)	COMPLETED	0	2024-07-04 09:14:34.397	2.8s	55ms	23.3%	0	0	82.8 KB	1.7 KB
1	e0/75cd0d	7269	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz)	COMPLETED	0	2024-07-04 09:14:34.376	3s	105ms	34.3%	0	0	3.3 MB	2.5 MB
2	5b/25ce70	7276	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes_with_empty_tid.gtf.gz)	COMPLETED	0	2024-07-04 09:14:34.388	3s	55ms	23.3%	0	0	92.8 KB	200.6 KB
5	6f/1dbc98	8246	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:14:37.333	1.7s	22ms	82.8%	2.9 MB	3.9 MB	4.4 MB	4.3 MB
4	9d/853ffc	8322	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (WT_REP1)	COMPLETED	0	2024-07-04 09:14:37.394	1.7s	38ms	63.2%	2.8 MB	3.9 MB	8.5 MB	8.4 MB
12	10/c21109	9256	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fasta)	COMPLETED	0	2024-07-04 09:14:39.082	1.8s	1s	14.7%	3.1 MB	9.4 MB	1.5 MB	199.7 KB
7	97/2f55a1	7295	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:14:34.405	10.1s	7s	67.5%	247.5 MB	3.8 GB	13 MB	1.8 MB
6	f3/492767	10087	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP2)	COMPLETED	0	2024-07-04 09:14:40.846	4.5s	3s	197.6%	289.3 MB	3.9 GB	16.1 MB	3.5 MB
9	bf/f6dace	7310	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:14:34.419	11.8s	9s	92.7%	204 MB	3.4 GB	64.8 MB	40.2 MB
8	a0/6a5100	8139	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP2)	COMPLETED	0	2024-07-04 09:14:37.175	13.6s	12s	152.3%	193 MB	3.3 GB	160.7 MB	119.9 MB
