gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	529.2302	529.2302	529.2302	529.2302	529.2302
HRA1	HRA1	364.424	364.424	364.424	364.424	364.424
snR18	snR18	12.961	3.543	3.543	12.817	12.883
tA(UGC)A	TGA1	5.7826	5.7826	5.7826	5.7826	5.7826
tL(CAA)A	SUP56	6.7862	6.7862	6.7862	6.7862	6.7862
tP(UGG)A	TRN1	7.136	7.136	7.136	7.136	7.136
tS(AGA)A	tS(AGA)A	9.394	9.394	9.394	9.394	9.394
YAL001C	TFC3	3315.596	3233	3233	3317.35	3317.118
YAL002W	VPS8	3657.596	3575	3575	3659.35	3659.118
YAL003W	EFB1	453.702	371	371	455.415	455.369
YAL004W	YAL004W	480.671	481.464345293605	481.464345293605	481.464345293605	482.259
YAL005C	SSA1	1761.596	1679	1679	1763.35	1763.118
YAL007C	ERP2	480.671	398	398	482.394	482.259
YAL008W	FUN14	429.743	347	347	431.48	431.475
YAL009W	SPO7	612.609	530	530	614.35	614.167
YAL010C	MDM10	1314.596	1232	1232	1316.35	1316.118
YAL011W	SWC3	1710.596	1628	1628	1712.35	1712.118
YAL012W	CYS3	1017.596	935	935	1019.35	1019.118
YAL013W	DEP1	1050.596	968	968	1052.35	1052.118
YAL014C	SYN8	600.609	518	518	602.35	602.167
YAL015C	NTG1	1032.596	950	950	1034.35	1034.118
YAL016C-A	YAL016C-A	120.1742	120.1742	120.1742	120.1742	120.1742
YAL016C-B	YAL016C-B	34.8014	34.8014	34.8014	34.8014	34.8014
YAL016W	TPD3	1740.596	1658	1658	1742.35	1742.118
YAL017W	PSK1	3903.596	3821	3821	3905.35	3905.118
YAL018C	LDS1	778.2128	778.2128	778.2128	778.2128	778.2128
YAL019W	FUN30	3228.596	3146	3146	3230.35	3230.118
YAL019W-A	YAL019W-A	370.41	370.41	370.41	370.41	370.41
YAL020C	ATS1	834.596	752	752	836.35	836.118
YAL021C	CCR4	2346.596	2264	2264	2348.35	2348.118
YAL022C	FUN26	1386.596	1304	1304	1388.35	1388.118
YAL023C	PMT2	2112.596	2030	2030	2114.35	2114.118
YAL024C	LTE1	4140.596	4058	4058	4142.35	4142.118
YAL025C	MAK16	753.596	671	671	755.35	755.118
YAL026C	DRS2	3900.596	3818	3818	3902.35	3902.118
YAL026C-A	YAL026C-A	271.993	188	188	274.022	274.17
YAL027W	SAW1	618.609	536	536	620.35	620.167
YAL028W	FRT2	1419.596	1337	1337	1421.35	1421.118
YAL029C	MYO4	4248.596	4166	4166	4250.35	4250.118
YAL030W	SNC1	191.071	104.002	104.002	193.178	193.802
YAL031C	GIP4	2115.596	2033	2033	2117.35	2117.118
YAL031W-A	YAL031W-A	114.6164	114.6164	114.6164	114.6164	114.6164
YAL032C	PRP45	972.596	890	890	974.35	974.118
YAL033W	POP5	354.983	272	272	356.824	357.012
YAL034C	FUN19	1074.596	992	992	1076.35	1076.118
YAL034C-B	YAL034C-B	157.211	157.211	157.211	157.211	157.211
YAL034W-A	MTW1	702.596	620	620	704.35	704.118
YAL035W	FUN12	2841.596	2759	2759	2843.35	2843.118
YAL036C	RBG1	942.596	860	860	944.35	944.118
YAL037C-A	YAL037C-A	7.9792	7.9792	7.9792	7.9792	7.9792
YAL037C-B	YAL037C-B	807.596	765.184356870944	725	765.184356870944	765.184356870944
YAL037W	YAL037W	636.596	554	554	638.35	638.16
YAL038W	CDC19	1335.596	1253	1253	1337.35	1337.118
YAL039C	CYC3	642.596	560	560	644.35	644.16
YAL040C	CLN3	1575.596	1493	1493	1577.35	1577.118
YAL041W	CDC24	2397.596	2315	2315	2399.35	2399.118
YAL042C-A	YAL042C-A	180.4216	180.4216	180.4216	180.4216	180.4216
YAL042W	ERV46	1080.596	998	998	1082.35	1082.118
YAL043C	PTA1	2190.596	2108	2108	2192.35	2192.118
YAL044C	GCV3	346.035	263	263	347.912	348.12
