"run_accession","experiment_accession","experiment_alias","bam_bytes","bam_ftp","bam_md5","base_count","broker_name","center_name","fastq_aspera","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_md5","first_created","first_public","instrument_model","instrument_platform","last_updated","library_layout","library_name","library_selection","library_source","library_strategy","nominal_length","nominal_sdev","read_count","experiment_title","run_alias","sample_accession","sample_alias","sample_title","scientific_name","secondary_sample_accession","secondary_study_accession","sra_aspera","sra_bytes","sra_ftp","sra_galaxy","sra_md5","study_accession","study_alias","study_title","submission_accession","submitted_aspera","submitted_bytes","submitted_format","submitted_ftp","submitted_galaxy","submitted_md5","tax_id"
"SRR4785813","SRX2316044","GSM2370971","","","","17639019724","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_2.fastq.gz","3714671246;3932195163","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785813/SRR4785813_2.fastq.gz","c85e1232b064f0c11e97c9983a58fb3e;b024b1d38a4dff492946331f7c5fcc70","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","88181600","Illumina HiSeq 2000 sequencing: GSM2370971: healthy tissue 2 Homo sapiens RNA-Seq","GSM2370971_r1","SAMN05963947","GSM2370971","healthy tissue 2","Homo sapiens","SRS1772971","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/003/SRR4785813","5658384756","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/003/SRR4785813","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/003/SRR4785813","8b75d1152b51d4fb1efec86d6424be0c","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785814","SRX2316045","GSM2370972","","","","18774069322","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_2.fastq.gz","4069099433;4226097515","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/004/SRR4785814/SRR4785814_2.fastq.gz","e83d93ea95802a9c59859d579030bb2a;512f5d7ac8cfe9ab0241510cacf4fa8a","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","93945900","Illumina HiSeq 2000 sequencing: GSM2370972: healthy tissue 3 Homo sapiens RNA-Seq","GSM2370972_r1","SAMN05963946","GSM2370972","healthy tissue 3","Homo sapiens","SRS1772967","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/004/SRR4785814","6063758309","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/004/SRR4785814","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/004/SRR4785814","b50976090148c5f7be1868646ba93669","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785815","SRX2316046","GSM2370973","","","","16699917015","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_2.fastq.gz","3371764291;3583203738","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/005/SRR4785815/SRR4785815_2.fastq.gz","9b1b3a41e63e16143eb2b7b0d4e20773;8fbc3ac4cc4ad02f28a49a08e1be705c","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","83807417","Illumina HiSeq 2000 sequencing: GSM2370973: healthy tissue 4 Homo sapiens RNA-Seq","GSM2370973_r1","SAMN05963945","GSM2370973","healthy tissue 4","Homo sapiens","SRS1772966","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/005/SRR4785815","5398437860","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/005/SRR4785815","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/005/SRR4785815","f2184e23c19c648a779f5bdefed75e9a","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785816","SRX2316047","GSM2370974","","","","15942658344","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_2.fastq.gz","3213586192;3479142137","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/006/SRR4785816/SRR4785816_2.fastq.gz","58358e699a53c2ecd9113fa27373d501;a4b6bf4032a819358ff8a7931157d670","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","80035499","Illumina HiSeq 2000 sequencing: GSM2370974: healthy tissue 5 Homo sapiens RNA-Seq","GSM2370974_r1","SAMN05963944","GSM2370974","healthy tissue 5","Homo sapiens","SRS1772968","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/006/SRR4785816","5122824836","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/006/SRR4785816","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/006/SRR4785816","1ce3313682adc41eecfa09e3eb85f48a","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785827","SRX2316058","GSM2370985","","","","15532259107","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_2.fastq.gz","3346301127;3737658434","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/007/SRR4785827/SRR4785827_2.fastq.gz","429f4243d5e1ea18c3244076f51a01f4;a7027fed7f8e559a076431ab4db81bfe","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","78074627","Illumina HiSeq 2000 sequencing: GSM2370985: healthy tissue 16 Homo sapiens RNA-Seq","GSM2370985_r1","SAMN05963933","GSM2370985","healthy tissue 16","Homo sapiens","SRS1772983","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/007/SRR4785827","6621527675","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/007/SRR4785827","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/007/SRR4785827","9091bc256b13e91aa17bf6cae342ac82","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785829","SRX2316060","GSM2370987","","","","15969998824","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_2.fastq.gz","3198645593;3557639219","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785829/SRR4785829_2.fastq.gz","345bddb697f1477f130581c2c3128a06;84e826266c49d20eab8b3ece63cd91f8","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","80752212","Illumina HiSeq 2000 sequencing: GSM2370987: healthy tissue 18 Homo sapiens RNA-Seq","GSM2370987_r1","SAMN05963931","GSM2370987","healthy tissue 18","Homo sapiens","SRS1772981","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/009/SRR4785829","6275416007","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/009/SRR4785829","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/009/SRR4785829","493e011c9b1d9b3014746da371eb8cbb","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785819","SRX2316050","GSM2370977","","","","16970737976","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_2.fastq.gz","3294716417;3743214558","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/009/SRR4785819/SRR4785819_2.fastq.gz","02a0fd7ff842e2bc8dfbcc8b8c2d1af2;96726659f8ee55265861214e154cdedd","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","85363805","Illumina HiSeq 2000 sequencing: GSM2370977: healthy tissue 8 Homo sapiens RNA-Seq","GSM2370977_r1","SAMN05963941","GSM2370977","healthy tissue 8","Homo sapiens","SRS1772972","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/009/SRR4785819","5422941747","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/009/SRR4785819","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/009/SRR4785819","e43579d11df96f1e6a1921f547981c87","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785830","SRX2316061","GSM2370988","","","","18521870549","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_2.fastq.gz","3617038740;3769774154","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/000/SRR4785830/SRR4785830_2.fastq.gz","bc4a1d1d845ad05ef2a50c706df2e41c;f1949c73db5f0f684b27dfb22702397d","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","92553585","Illumina HiSeq 2000 sequencing: GSM2370988: healthy tissue 19 Homo sapiens RNA-Seq","GSM2370988_r1","SAMN05963930","GSM2370988","healthy tissue 19","Homo sapiens","SRS1772982","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/000/SRR4785830","5299446552","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/000/SRR4785830","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/000/SRR4785830","c7f9a5d606ed11577787d231faaefb15","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785831","SRX2316062","GSM2370989","","","","14579351963","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_2.fastq.gz","3258210962;3462713953","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/001/SRR4785831/SRR4785831_2.fastq.gz","3157dd2d87b673b8791c5a9bda8708d8;00725cfbd50c1b4e1c41a6683f3e4c07","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","73446199","Illumina HiSeq 2000 sequencing: GSM2370989: healthy tissue 20 Homo sapiens RNA-Seq","GSM2370989_r1","SAMN05963929","GSM2370989","healthy tissue 20","Homo sapiens","SRS1772984","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/001/SRR4785831","6321915235","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/001/SRR4785831","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/001/SRR4785831","1e2c7c8a3915a6e49433f2733afc3c9d","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
"SRR4785823","SRX2316054","GSM2370981","","","","17646816320","","","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_2.fastq.gz","3507141344;3848758759","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR478/003/SRR4785823/SRR4785823_2.fastq.gz","be930690ffd7027414be8c2707559103;0d872fee3ef1d3af8dc83d902890000f","2017-06-21","2017-06-21","Illumina HiSeq 2000","ILLUMINA","2017-06-21","PAIRED","","cDNA","TRANSCRIPTOMIC","RNA-Seq","","","88415330","Illumina HiSeq 2000 sequencing: GSM2370981: healthy tissue 12 Homo sapiens RNA-Seq","GSM2370981_r1","SAMN05963937","GSM2370981","healthy tissue 12","Homo sapiens","SRS1772976","SRP092408","fasp.sra.ebi.ac.uk:/vol1/srr/SRR478/003/SRR4785823","5583195919","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/003/SRR4785823","ftp.sra.ebi.ac.uk/vol1/srr/SRR478/003/SRR4785823","da6cca85a387d71746c0148d434cd65c","PRJNA352076","GSE89408","RNAseq study of synovial biopsies","SRA488109","","","","","","","9606"
