sample,fastq_1,fastq_2,strandedness
healthy_tissue_2,fastq_files/healthy_tissue_2_1.fastq.gz,fastq_files/healthy_tissue_2_2.fastq.gz,auto
healthy_tissue_3,fastq_files/healthy_tissue_3_1.fastq.gz,fastq_files/healthy_tissue_3_2.fastq.gz,auto
healthy_tissue_4,fastq_files/healthy_tissue_4_1.fastq.gz,fastq_files/healthy_tissue_4_2.fastq.gz,auto
healthy_tissue_16,fastq_files/healthy_tissue_16_1.fastq.gz,fastq_files/healthy_tissue_16_2.fastq.gz,auto
healthy_tissue_18,fastq_files/healthy_tissue_18_1.fastq.gz,fastq_files/healthy_tissue_18_2.fastq.gz,auto
healthy_tissue_19,fastq_files/healthy_tissue_19_1.fastq.gz,fastq_files/healthy_tissue_19_2.fastq.gz,auto
healthy_tissue_20,fastq_files/healthy_tissue_20_1.fastq.gz,fastq_files/healthy_tissue_20_2.fastq.gz,auto
osteoarthritis_tissue_2,fastq_files/osteoarthritis_tissue_2_1.fastq.gz,fastq_files/osteoarthritis_tissue_2_2.fastq.gz,auto
osteoarthritis_tissue_4,fastq_files/osteoarthritis_tissue_4_1.fastq.gz,fastq_files/osteoarthritis_tissue_4_2.fastq.gz,auto
osteoarthritis_tissue_7,fastq_files/osteoarthritis_tissue_7_1.fastq.gz,fastq_files/osteoarthritis_tissue_7_2.fastq.gz,auto
osteoarthritis_tissue_11,fastq_files/osteoarthritis_tissue_11_1.fastq.gz,fastq_files/osteoarthritis_tissue_11_2.fastq.gz,auto
osteoarthritis_tissue_13,fastq_files/osteoarthritis_tissue_13_1.fastq.gz,fastq_files/osteoarthritis_tissue_13_2.fastq.gz,auto
osteoarthritis_tissue_15,fastq_files/osteoarthritis_tissue_15_1.fastq.gz,fastq_files/osteoarthritis_tissue_15_2.fastq.gz,auto
osteoarthritis_tissue_20,fastq_files/osteoarthritis_tissue_20_1.fastq.gz,fastq_files/osteoarthritis_tissue_20_2.fastq.gz,auto
arthralgia_tissue_1,fastq_files/arthralgia_tissue_1_1.fastq.gz,fastq_files/arthralgia_tissue_1_2.fastq.gz,auto
arthralgia_tissue_2,fastq_files/arthralgia_tissue_2_1.fastq.gz,fastq_files/arthralgia_tissue_2_2.fastq.gz,auto
arthralgia_tissue_3,fastq_files/arthralgia_tissue_3_1.fastq.gz,fastq_files/arthralgia_tissue_3_2.fastq.gz,auto
arthralgia_tissue_5,fastq_files/arthralgia_tissue_5_1.fastq.gz,fastq_files/arthralgia_tissue_5_2.fastq.gz,auto
arthralgia_tissue_8,fastq_files/arthralgia_tissue_8_1.fastq.gz,fastq_files/arthralgia_tissue_8_2.fastq.gz,auto
arthralgia_tissue_9,fastq_files/arthralgia_tissue_9_1.fastq.gz,fastq_files/arthralgia_tissue_9_2.fastq.gz,auto
arthralgia_tissue_10,fastq_files/arthralgia_tissue_10_1.fastq.gz,fastq_files/arthralgia_tissue_10_2.fastq.gz,auto
undifferentiated_arthritis_tissue_2,fastq_files/undifferentiated_arthritis_tissue_2_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_2_2.fastq.gz,auto
rheumatoid_arthritis_tissue_1,fastq_files/rheumatoid_arthritis_tissue_1_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_1_2.fastq.gz,auto
rheumatoid_arthritis_tissue_4,fastq_files/rheumatoid_arthritis_tissue_4_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_4_2.fastq.gz,auto
rheumatoid_arthritis_tissue_5,fastq_files/rheumatoid_arthritis_tissue_5_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_5_2.fastq.gz,auto
rheumatoid_arthritis_tissue_16,fastq_files/rheumatoid_arthritis_tissue_16_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_16_2.fastq.gz,auto
rheumatoid_arthritis_tissue_17,fastq_files/rheumatoid_arthritis_tissue_17_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_17_2.fastq.gz,auto
rheumatoid_arthritis_tissue_19,fastq_files/rheumatoid_arthritis_tissue_19_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_19_2.fastq.gz,auto
rheumatoid_arthritis_tissue_23,fastq_files/rheumatoid_arthritis_tissue_23_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_23_2.fastq.gz,auto
rheumatoid_arthritis_tissue_27,fastq_files/rheumatoid_arthritis_tissue_27_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_27_2.fastq.gz,auto
rheumatoid_arthritis_tissue_28,fastq_files/rheumatoid_arthritis_tissue_28_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_28_2.fastq.gz,auto
healthy_tissue_1,fastq_files/healthy_tissue_1_1.fastq.gz,fastq_files/healthy_tissue_1_2.fastq.gz,auto
rheumatoid_arthritis_tissue_31,fastq_files/rheumatoid_arthritis_tissue_31_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_31_2.fastq.gz,auto
healthy_tissue_6,fastq_files/healthy_tissue_6_1.fastq.gz,fastq_files/healthy_tissue_6_2.fastq.gz,auto
