tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	559.656283	567.903509	0	0	275.981101
YAL068W-A	YAL068W-A	0	0	891.234572	0	0
YAL068C	YAL068C	434.361277	984.889074	1872.641267	449.534781	646.977535
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	26.85924	72.645427	50.22765	14.019188	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	0	0	0	0
YAL064W-B	YAL064W-B	200.039231	0	146.848766	207.272879	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	493.936916	0	0
YAL063C-A	YAL063C-A	0	850.022642	440.78452	0	0
YAL063C	YAL063C	46.870154	95.838975	52.114755	37.591313	12.41493
YAL062W	YAL062W	611.004822	396.059768	393.643567	506.324926	469.384743
YAL061W	YAL061W	1197.321411	554.246987	1552.004371	208.20431	200.442113
YAL060W	YAL060W	2208.995439	2104.535614	2439.421202	1013.918061	1197.989656
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	1654.955934	2193.431254	2077.023074	1627.420423	1935.480696
YAL058W	YAL058W	743.470395	795.579947	733.427417	691.596778	909.366272
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	1086.099265	759.624868	1061.140436	686.012696	686.77255
YAL055W	YAL055W	692.234703	126.612963	328.27969	119.991201	230.941708
YAL054C	YAL054C	87.849509	98.03805	71.173536	45.862149	22.074056
YAL053W	YAL053W	2302.737625	2276.684187	2370.329296	1430.268789	1356.845265
YAL051W	YAL051W	582.77069	743.490218	784.377472	631.481472	571.238841
YAL049C	YAL049C	2192.500308	2795.542027	2546.67484	1339.075794	1061.756194
YAL048C	YAL048C	428.526853	447.987097	508.861838	310.690688	239.265577
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	509.719373	527.019616	475.28573	252.759786	358.573585
YAL046C	YAL046C	447.195293	1040.110203	1258.496411	1040.607743	1775.069202
YAL045C	YAL045C	0	0	322.812363	0	0
YAL044W-A	YAL044W-A	1517.355711	1340.267785	3243.352853	1174.113872	1001.008396
YAL044C	YAL044C	4261.050407	7899.108329	8923.715437	3256.557935	3257.916194
YAL043C	YAL043C	1326.386565	1179.098233	1222.857422	816.53624	855.656666
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	5819.18605	5427.103564	5589.965026	3517.222624	4232.623506
YAL041W	YAL041W	1103.345256	1041.617226	1155.062373	868.865358	927.285742
YAL040C	YAL040C	963.34262	1093.298273	1185.412909	761.388083	1051.028276
YAL039C	YAL039C	674.869141	1126.177092	1339.732873	422.005158	406.305667
YAL038W	YAL038W	188001.386536	187678.910907	205851.75005	179819.991737	211136.711723
YAL037C-B	YAL037C-B	53.698658	0	79.602166	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	272.491948	334.815869	312.517527	212.985842	68.354295
YAL036C	YAL036C	2484.424261	2501.931054	3288.217363	2015.601206	2356.344829
YAL035W	YAL035W	6318.232624	6427.202571	6059.122143	6136.47059	6029.658104
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	493.78956	119.669672	775.693145	193.028336	371.706977
YAL034C	YAL034C	726.41513	598.34836	853.262459	252.630644	324.28365
YAL033W	YAL033W	1588.158284	1636.658738	1697.399104	1206.583569	855.284064
YAL032C	YAL032C	668.83097	583.557727	778.133528	441.872442	671.698907
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	799.446622	729.908473	681.297428	395.974605	309.058864
YAL030W	YAL030W	3177.535252	4637.128289	7398.805139	2228.709731	2025.721418
YAL029C	YAL029C	1806.697465	1567.253302	1653.123851	1306.169792	1436.885234
YAL028W	YAL028W	305.487069	221.975158	273.378167	63.770121	122.77921
YAL027W	YAL027W	771.141493	692.119371	717.805596	182.638179	140.674926
YAL026C-A	YAL026C-A	1913.292396	2170.604137	1945.287624	1204.752917	852.563445
YAL026C	YAL026C	1367.513886	1612.939046	1587.089401	1065.136224	1393.339458
HRA1	HRA1	0	0	0	0	0
YAL025C	YAL025C	1093.38373	1603.323925	1548.14942	1529.960685	1213.107789
YAL024C	YAL024C	523.678508	475.375825	469.315376	388.391577	494.960366
YAL023C	YAL023C	6302.016328	5866.171924	6226.026482	4704.851318	5199.55679
YAL022C	YAL022C	1313.581266	1024.166823	1253.957933	914.002418	848.461932
YAL021C	YAL021C	1977.438812	1671.35822	1707.895391	1360.550128	1523.3123
YAL020C	YAL020C	623.537446	394.655303	460.464655	325.125852	104.341567
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL019W	YAL019W	1410.370445	1308.910803	1455.324598	1346.821064	1161.381997
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	1133.164374	1097.102481	1042.161292	597.634293	670.211879
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016W	YAL016W	3762.153979	3602.360258	3770.860507	2588.069578	2654.136752
YAL015C	YAL015C	545.972174	468.601242	566.990863	197.166575	253.090655
YAL014C	YAL014C	1083.071292	1360.722717	1559.772159	1203.814077	1303.919905
YAL013W	YAL013W	330.226438	689.831374	695.559555	473.718969	414.601155
YAL012W	YAL012W	10824.701289	9165.289006	10966.227026	8980.827196	10230.537708
YAL011W	YAL011W	253.518787	546.893339	437.208862	264.664523	433.121982
YAL010C	YAL010C	362.875775	361.340243	562.12568	516.426075	331.43636
YAL009W	YAL009W	1132.646092	1049.932027	689.635112	368.843801	355.123067
YAL008W	YAL008W	1513.701278	1817.46158	1330.526101	525.167672	404.388848
YAL007C	YAL007C	4601.293043	5219.762557	6380.173536	3100.27301	4613.01854
tP(UGG)A	tP(UGG)A	0	0	0	3175.467683	0
YAL005C	YAL005C	156840.742684	126715.143298	136757.057032	111008.625924	110962.457687
YAL004W	YAL004W	90.221432	0	0	0	90.451344
YAL003W	YAL003W	67386.965341	81394.730175	88356.257613	63837.7831	74909.683606
snR18	snR18	10037.794265	83763.015927	21717.916032	14143.365793	27087.081739
YAL002W	YAL002W	438.695919	332.062416	441.244634	390.116975	309.95023
YAL001C	YAL001C	745.539834	814.70135	684.279874	403.012918	394.507588
YAR002W	YAR002W	1701.718071	1624.712331	1670.967593	966.008692	1199.928386
YAR002C-A	YAR002C-A	5985.625632	6967.109903	7225.67621	3987.637444	5913.614865
YAR003W	YAR003W	1051.462282	611.696578	653.056886	487.594015	586.766617
YAR007C	YAR007C	1480.796901	1538.081113	1499.929412	1279.35532	1154.591737
YAR008W	YAR008W	590.832203	898.557745	599.082041	136.845586	329.383952
YAR009C	YAR009C	221204.494968	182223.490594	183521.985097	257874.025832	233316.024031
YAR010C	YAR010C	231283.012033	210415.641474	212182.798996	285243.280523	248052.273576
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	1259.50979	1203.698664	1698.602938	819.026104	1110.445974
YAR015W	YAR015W	3165.058166	3483.083009	4300.415056	2849.926765	2483.982616
YAR018C	YAR018C	760.423882	490.894496	509.112778	515.741948	534.702268
YAR019C	YAR019C	330.252609	471.520873	517.786045	229.937336	316.194813
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	116.294841	127.922752	331.675687	120.946499	116.380384
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	4616.252894	0	0	0	0
YAR027W	YAR027W	2165.873662	2672.971051	3066.189661	1295.168059	1689.529836
YAR028W	YAR028W	1532.633008	1059.931378	2367.654145	672.190457	970.817302
YAR029W	YAR029W	546.096362	2913.374691	6042.994151	0	0
YAR030C	YAR030C	482.049648	0	418.1515	124.484037	0
YAR031W	YAR031W	1129.350496	573.378646	1129.850418	433.771587	536.969908
YAR033W	YAR033W	161.32979	896.865012	634.193075	210.059518	242.704326
YAR035W	YAR035W	45.731218	81.802863	42.419382	143.239642	45.962304
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	1326.672215	1174.328549	1130.9171	879.388653	987.561279
YAR047C	YAR047C	0	0	540.618335	139.311295	0
YAR050W	YAR050W	37.951096	62.840059	48.159077	79.927428	87.451361
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	248.788892	0	894.492096	0	246.45488
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	100.913419	0	110.877175	52.516767	0
YAR064W	YAR064W	0	0	0	0	0
YAR066W	YAR066W	292.552295	614.877317	425.131268	253.791565	1074.901456
YAR068W	YAR068W	1629.787385	1100.352483	1874.810872	705.505546	950.212813
YAR069C	YAR069C	0	0	0	0	312.839957
YAR070C	YAR070C	0	0	0	0	0
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
