gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	528.0068	528.0068	528.0068	528.0068	528.0068
HRA1	HRA1	363.2586	363.2586	363.2586	363.2586	363.2586
snR18	snR18	13.09	3.543	3.543	12.947	12.905
tA(UGC)A	TGA1	5.9316	5.9316	5.9316	5.9316	5.9316
tL(CAA)A	SUP56	7.0148	7.0148	7.0148	7.0148	7.0148
tP(UGG)A	TRN1	7.928	7.928	7.928	7.928	7.928
tS(AGA)A	tS(AGA)A	9.581	9.581	9.581	9.581	9.581
YAL001C	TFC3	3314.158	3233	3233	3314.496	3314.94
YAL002W	VPS8	3656.158	3575	3575	3656.496	3656.94
YAL003W	EFB1	452.333	371	371	452.782	453.412
YAL004W	YAL004W	479.307	450.812458500643	398	450.812458500643	480.276
YAL005C	SSA1	1760.158	1679	1679	1760.496	1760.94
YAL007C	ERP2	479.307	398	398	479.762	480.276
YAL008W	FUN14	428.394	347	347	428.869	429.528
YAL009W	SPO7	611.199	530	530	611.69	612.054
YAL010C	MDM10	1313.158	1232	1232	1313.496	1313.94
YAL011W	SWC3	1709.158	1628	1628	1709.496	1709.94
YAL012W	CYS3	1016.158	935	935	1016.496	1016.94
YAL013W	DEP1	1049.158	968	968	1049.496	1049.94
YAL014C	SYN8	599.199	518	518	599.69	600.054
YAL015C	NTG1	1031.158	950	950	1031.496	1031.94
YAL016C-A	YAL016C-A	119.3622	119.3622	119.3622	119.3622	119.3622
YAL016C-B	YAL016C-B	34.5766	34.5766	34.5766	34.5766	34.5766
YAL016W	TPD3	1739.158	1658	1658	1739.496	1739.94
YAL017W	PSK1	3902.158	3821	3821	3902.496	3902.94
YAL018C	LDS1	776.9602	776.9602	776.9602	776.9602	776.9602
YAL019W	FUN30	3227.158	3146	3146	3227.496	3227.94
YAL019W-A	YAL019W-A	369.2444	369.2444	369.2444	369.2444	369.2444
YAL020C	ATS1	833.158	752	752	833.496	833.94
YAL021C	CCR4	2345.158	2264	2264	2345.496	2345.94
YAL022C	FUN26	1385.158	1304	1304	1385.496	1385.94
YAL023C	PMT2	2111.158	2030	2030	2111.496	2111.94
YAL024C	LTE1	4139.158	4058	4058	4139.496	4139.94
YAL025C	MAK16	752.192	671	671	752.648	752.969
YAL026C	DRS2	3899.158	3818	3818	3899.496	3899.94
YAL026C-A	YAL026C-A	270.716	188	188	271.5	272.435
YAL027W	SAW1	617.199	536	536	617.69	618.054
YAL028W	FRT2	1418.158	1337	1337	1418.496	1418.94
YAL029C	MYO4	4247.158	4166	4166	4247.496	4247.94
YAL030W	SNC1	189.941	104.002	104.002	190.976	192.204
YAL031C	GIP4	2114.158	2033	2033	2114.496	2114.94
YAL031W-A	YAL031W-A	113.821	113.821	113.821	113.821	113.821
YAL032C	PRP45	971.158	890	890	971.496	971.94
YAL033W	POP5	353.716	272	272	354.352	355.142
YAL034C	FUN19	1073.158	992	992	1073.496	1073.94
YAL034C-B	YAL034C-B	156.225	156.225	156.225	156.225	156.225
YAL034W-A	MTW1	701.192	620	620	701.65	701.969
YAL035W	FUN12	2840.158	2759	2759	2840.496	2840.94
YAL036C	RBG1	941.158	860	860	941.496	941.94
YAL037C-A	YAL037C-A	8.114	8.114	8.114	8.114	8.114
YAL037C-B	YAL037C-B	806.192	764.518933709297	725	764.518933709297	764.518933709297
YAL037W	YAL037W	635.192	554	554	635.669	636.051
YAL038W	CDC19	1334.158	1253	1253	1334.496	1334.94
YAL039C	CYC3	641.192	560	560	641.669	642.051
YAL040C	CLN3	1574.158	1493	1493	1574.496	1574.94
YAL041W	CDC24	2396.158	2315	2315	2396.496	2396.94
YAL042C-A	YAL042C-A	179.4254	179.4254	179.4254	179.4254	179.4254
YAL042W	ERV46	1079.158	998	998	1079.496	1079.94
YAL043C	PTA1	2189.158	2108	2108	2189.496	2189.94
YAL044C	GCV3	344.765	263	263	345.403	346.233
YAL044W-A	YAL044W-A	170.462	83.038	83.038	171.71	172.843
YAL045C	YAL045C	59.592	59.592	59.592	59.592	59.592
YAL046C	AIM1	192.828	107.001	107.001	193.743	194.996
YAL047C	SPC72	1700.158	1619	1619	1700.496	1700.94
YAL047W-A	YAL047W-A	133.397	133.397	133.397	133.397	133.397
YAL048C	GEM1	1820.158	1739	1739	1820.496	1820.94
YAL049C	AIM2	572.199	491	491	572.705	573.113
YAL051W	OAF1	2975.158	2894	2894	2975.496	2975.94
