gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	399.449312724364	3332.21156906551	1729.28567237943	1110.77522998601	1068.46801500972
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	226.75833429339	0
tS(AGA)A	tS(AGA)A	181.906720726601	0	0	0	0
YAL001C	TFC3	28.9240798657212	32.4099751121178	54.4856781259615	32.542232818236	15.5985215371144
YAL002W	VPS8	17.1611988641857	13.6227236543142	35.1340351113769	30.973411430046	11.7831127491232
YAL003W	EFB1	2435.16577280663	3222.0862659763	6989.93720150659	4426.89800353229	2676.19403376192
YAL004W	YAL004W	3.63627058277773	0	3.84863883885615	0	3.58877835587941
YAL005C	SSA1	6113.43058787068	5577.9603973767	12183.8185383782	8391.59877116101	4188.27824573445
YAL007C	ERP2	167.268447459742	207.649557352927	508.020321413182	228.569050616724	157.90624795835
YAL008W	FUN14	56.9580421106311	72.3011992413166	105.942933053192	41.916859020786	12.038372540217
YAL009W	SPO7	39.9222807001192	41.7677850945035	54.9120880836671	26.449933896024	14.0804925586079
YAL010C	MDM10	14.5997585464398	14.3746273266157	44.7591695253632	41.058788564172	13.1178367960789
YAL011W	SWC3	10.1973611201026	21.7561926511375	33.8718038723061	19.98016775673	17.1358575764429
YAL012W	CYS3	423.648464596034	364.608195169199	878.098846678396	680.877061354494	389.825475310483
YAL013W	DEP1	13.2898176293124	27.4424703915229	55.3838209715166	35.97097026546	16.4162227549996
YAL014C	SYN8	46.5391923451759	56.980504740856	127.153676795665	83.935307275332	48.8310612207952
YAL015C	NTG1	20.2827089021144	18.6416220227313	45.1465589191909	13.942353375654	10.021541240806
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	148.317600024282	142.416894480871	301.178038017495	200.48962907964	103.02363370519
YAL017W	PSK1	44.6647833467287	44.0305253540901	84.1845668159698	46.525655465424	26.4970325440185
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	54.5470433698899	52.0703281105531	115.879993829018	103.600255975242	44.8530194576981
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	25.1028918060318	15.6999476730234	36.6644262571673	25.881615994254	4.13364196171087
YAL021C	CCR4	78.0346050156889	66.489000342381	137.344047175523	104.236019306922	58.042755115105
YAL022C	FUN26	52.8469535495043	40.7428087257115	101.020865881849	70.065158920296	33.5781759865734
YAL023C	PMT2	249.319496060996	234.818624026819	497.255507722765	367.796077415256	199.134298518796
YAL024C	LTE1	20.6326095814027	18.9111245273658	37.3691635051786	29.965064394036	19.1514495735518
YAL025C	MAK16	44.024577141092	63.7824995979336	127.836754162758	119.424056007612	48.0706773785359
YAL026C	DRS2	54.5329609210409	64.1650027703373	126.371746826366	83.17049494197	54.6428646566264
YAL026C-A	YAL026C-A	77.2570488071095	86.3497109802987	154.893201497861	96.595165171806	33.9208079384101
YAL027W	SAW1	28.2387020497875	27.5334901726171	57.1551584910528	14.55167202648	5.57752031387742
YAL028W	FRT2	11.0608340001539	8.83048658745666	21.7676938014502	5.06927092665	4.85885266963114
YAL029C	MYO4	73.0451980941659	62.7018066023624	131.997409323654	101.99940901506	56.3993753871306
YAL030W	SNC1	128.463700594698	184.471539866235	589.128703688165	141.196907342538	71.7406694794843
YAL031C	GIP4	31.3268112813923	29.0367942478381	54.2482013535657	30.606188062458	12.2244977965828
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	25.1251149832998	23.2147539938954	63.6798373474383	33.307737981702	23.0537509977719
YAL033W	POP5	64.0559062449439	65.1086057480632	135.155138533277	91.316964363204	33.972986251093
YAL034C	FUN19	25.985211172854	23.8031463721956	67.9408900543021	18.420690180132	9.62961565222737
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	19.8848971622482	4.76062929072352	61.7644454964762	12.810410429832	14.7323276629753
YAL035W	FUN12	250.986792401494	257.287940028722	484.12221248182	480.986636664942	236.613973525735
YAL036C	RBG1	90.7409765713315	101.246406440987	261.82379401104	156.570171261876	87.8325905772802
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	2.16188111456468	0	6.33831002746766	0	0
YAL037W	YAL037W	10.975525038628	13.3194501131386	27.6490657955604	11.31208286436	2.70985445809129
YAL038W	CDC19	7459.31278606846	7507.35657439315	16450.8146108544	13892.5308985028	8184.58692663248
YAL039C	CYC3	24.4638466385691	44.8009218760086	106.676020767541	33.618923681694	13.4226537339096
YAL040C	CLN3	37.6444187598117	43.492955855392	94.3883177124116	57.08763663165	39.3981901091756
YAL041W	CDC24	44.3694893524063	41.4370104993189	92.6333276786374	66.761625685224	35.954286214874
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	227.721488875512	215.897876681094	446.634920111689	279.770479781898	162.793952519
YAL043C	PTA1	50.1572226554397	46.9061999669508	98.0964717587959	63.220827666084	34.6304617054344
YAL044C	GCV3	166.824818432143	319.849120170802	716.37362384341	244.616130584442	124.454090167528
YAL044W-A	YAL044W-A	51.1224260117068	53.3177532916016	258.251464409858	73.2851182938	29.9163431834591
YAL045C	YAL045C	0	0	25.7038839514963	0	0
YAL046C	AIM1	18.0771487981728	41.3770589921868	100.207580203058	74.22956718705	53.035036079035
YAL047C	SPC72	20.502684178656	20.9655877587729	37.8445520484282	20.085914269362	14.1865513798818
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	17.2358789227635	17.8215620704906	40.5180443930935	25.674218585088	9.46546963906354
YAL049C	AIM2	79.1947119507046	111.21062659463	202.778586438749	106.723929188112	36.0893246555369
YAL051W	OAF1	22.2609465599875	30.5969951210172	62.985221276183	49.541377814694	22.5880262044274
YAL053W	FLC2	92.6067961730108	90.5697258337901	190.923244044991	109.49967963078	53.6668409028243
YAL054C	ACS1	2.6498995838157	3.9000926709988	5.66718166483033	4.55456981346	0.873180166494127
YAL055W	PEX22	27.9165007254082	5.03684320726307	26.1392191059899	4.791526880154	9.17115156121983
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	42.9707025911291	30.2189545663004	85.1332410419029	52.306943610096	26.4640771637355
YAL058W	CNE1	29.9117490460332	31.6492985857153	59.6156902623724	52.30132774938	34.7050104247703
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	62.999075676603	87.2578060680905	165.382637938277	126.016082278488	73.1397251747999
YAL060W	BDH1	87.1304400464678	87.004604044301	194.2385322477	78.838123691172	50.955756918708
YAL061W	BDH2	48.1834858325756	22.0487311901451	125.103761323993	14.904860812494	7.93600436423106
YAL062W	GDH3	7.23096024433554	28.8856687056328	50.4226468745036	19.38613416678	5.71705056052328
YAL063C	FLO9	2.13286919668073	3.86917128232474	5.45253916287255	2.145126520524	0.502995706968497
