tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	153.972	65.324	65.324	155.414	156.777
YAL068W-A	YAL068W-A	102.213	21.585	21.585	103.997	105.201
YAL068C	YAL068C	198.545	113	113	199.354	200.67
YAL067W-A	YAL067W-A	81.114	13.36	13.36	82.542	83.948
YAL067C	YAL067C	1613.158	1532	1532	1613.496	1613.94
YAL066W	YAL066W	148.528	59.592	59.592	150.041	151.352
YAL065C	YAL065C	221.284	137	137	222.135	223.341
YAL064W-B	YAL064W-B	215.594	131	131	216.394	217.676
YAL064C-A	YAL064C-A	215.594	131	131	216.394	217.676
YAL064W	YAL064W	127.277	38.947	38.947	128.954	130.533
YAL063C-A	YAL063C-A	132.553	43.643	43.643	134.14	135.638
YAL063C	YAL063C	3800.158	3719	3719	3800.496	3800.94
YAL062W	YAL062W	1205.158	1124	1124	1205.496	1205.94
YAL061W	YAL061W	1085.158	1004	1004	1085.496	1085.94
YAL060W	YAL060W	980.158	899	899	980.496	980.94
YAL059C-A	YAL059C-A	255.98	173	173	256.908	257.837
YAL059W	YAL059W	470.311	389	389	470.762	471.319
YAL058W	YAL058W	1340.158	1259	1259	1340.496	1340.94
YAL056C-A	YAL056C-A	187.151	101.003	101.003	188.209	189.383
YAL056W	YAL056W	2474.158	2393	2393	2474.496	2474.94
YAL055W	YAL055W	374.594	293	293	375.18	375.876
YAL054C	YAL054C	1973.158	1892	1892	1973.496	1973.94
YAL053W	YAL053W	2183.158	2102	2102	2183.496	2183.94
YAL051W	YAL051W	2975.158	2894	2894	2975.496	2975.94
YAL049C	YAL049C	572.199	491	491	572.705	573.113
YAL048C	YAL048C	1820.158	1739	1739	1820.496	1820.94
YAL047W-A	YAL047W-A	167.715	80.056	80.056	168.98	170.178
YAL047C	YAL047C	1700.158	1619	1619	1700.496	1700.94
YAL046C	YAL046C	192.828	107.001	107.001	193.743	194.996
YAL045C	YAL045C	148.528	59.592	59.592	150.041	151.352
YAL044W-A	YAL044W-A	170.462	83.038	83.038	171.71	172.843
YAL044C	YAL044C	344.765	263	263	345.403	346.233
YAL043C	YAL043C	2189.158	2108	2108	2189.496	2189.94
YAL042C-A	YAL042C-A	212.699	128	128	213.582	214.846
YAL042W	YAL042W	1079.158	998	998	1079.496	1079.94
YAL041W	YAL041W	2396.158	2315	2315	2396.496	2396.94
YAL040C	YAL040C	1574.158	1493	1493	1574.496	1574.94
YAL039C	YAL039C	641.192	560	560	641.669	642.051
YAL038W	YAL038W	1334.158	1253	1253	1334.496	1334.94
YAL037C-B	YAL037C-B	806.192	725	725	806.64	806.969
YAL037C-A	YAL037C-A	11.284	3.333	3.333	11.456	11.164
YAL037W	YAL037W	635.192	554	554	635.669	636.051
YAL036C	YAL036C	941.158	860	860	941.496	941.94
YAL035W	YAL035W	2840.158	2759	2759	2840.496	2840.94
YAL034C-B	YAL034C-B	189.941	104.002	104.002	190.976	192.204
YAL034W-A	YAL034W-A	701.192	620	620	701.65	701.969
YAL034C	YAL034C	1073.158	992	992	1073.496	1073.94
YAL033W	YAL033W	353.716	272	272	354.352	355.142
YAL032C	YAL032C	971.158	890	890	971.496	971.94
YAL031W-A	YAL031W-A	148.528	59.592	59.592	150.041	151.352
YAL031C	YAL031C	2114.158	2033	2033	2114.496	2114.94
YAL030W	YAL030W	189.941	104.002	104.002	190.976	192.204
YAL029C	YAL029C	4247.158	4166	4166	4247.496	4247.94
YAL028W	YAL028W	1418.158	1337	1337	1418.496	1418.94
YAL027W	YAL027W	617.199	536	536	617.69	618.054
YAL026C-A	YAL026C-A	270.716	188	188	271.5	272.435
YAL026C	YAL026C	3899.158	3818	3818	3899.496	3899.94
HRA1	HRA1	395.486	314	314	396.015	396.792
YAL025C	YAL025C	752.192	671	671	752.648	752.969
YAL024C	YAL024C	4139.158	4058	4058	4139.496	4139.94
YAL023C	YAL023C	2111.158	2030	2030	2111.496	2111.94
YAL022C	YAL022C	1385.158	1304	1304	1385.496	1385.94
YAL021C	YAL021C	2345.158	2264	2264	2345.496	2345.94
YAL020C	YAL020C	833.158	752	752	833.496	833.94
YAL019W-A	YAL019W-A	401.474	320	320	402.006	402.742
YAL019W	YAL019W	3227.158	3146	3146	3227.496	3227.94
YAL018C	YAL018C	809.192	728	728	809.64	809.969
YAL017W	YAL017W	3902.158	3821	3821	3902.496	3902.94
YAL016C-B	YAL016C-B	51.204	7.49	7.49	52.957	53.742
YAL016C-A	YAL016C-A	153.972	65.324	65.324	155.414	156.777
YAL016W	YAL016W	1739.158	1658	1658	1739.496	1739.94
YAL015C	YAL015C	1031.158	950	950	1031.496	1031.94
YAL014C	YAL014C	599.199	518	518	599.69	600.054
YAL013W	YAL013W	1049.158	968	968	1049.496	1049.94
YAL012W	YAL012W	1016.158	935	935	1016.496	1016.94
YAL011W	YAL011W	1709.158	1628	1628	1709.496	1709.94
YAL010C	YAL010C	1313.158	1232	1232	1313.496	1313.94
YAL009W	YAL009W	611.199	530	530	611.69	612.054
YAL008W	YAL008W	428.394	347	347	428.869	429.528
YAL007C	YAL007C	479.307	398	398	479.762	480.276
tP(UGG)A	tP(UGG)A	8.177	2.918	2.918	7.928	7.282
YAL005C	YAL005C	1760.158	1679	1679	1760.496	1760.94
YAL004W	YAL004W	479.307	398	398	479.762	480.276
YAL003W	YAL003W	452.333	371	371	452.782	453.412
snR18	snR18	13.09	3.543	3.543	12.947	12.905
YAL002W	YAL002W	3656.158	3575	3575	3656.496	3656.94
YAL001C	YAL001C	3314.158	3233	3233	3314.496	3314.94
YAR002W	YAR002W	1451.158	1370	1370	1451.496	1451.94
YAR002C-A	YAR002C-A	491.307	410	410	491.75	492.229
YAR003W	YAR003W	1112.158	1031	1031	1112.496	1112.94
YAR007C	YAR007C	1697.158	1616	1616	1697.496	1697.94
YAR008W	YAR008W	659.192	578	578	659.65	660.051
YAR009C	YAR009C	3422.158	3341	3341	3422.496	3422.94
YAR010C	YAR010C	1154.158	1073	1073	1154.496	1154.94
tA(UGC)A	tA(UGC)A	8.297	2.935	2.935	8.031	7.46
YAR014C	YAR014C	1961.158	1880	1880	1961.496	1961.94
YAR015W	YAR015W	752.192	671	671	752.648	752.969
YAR018C	YAR018C	1139.158	1058	1058	1139.496	1139.94
YAR019C	YAR019C	2756.158	2675	2675	2756.496	2756.94
YAR019W-A	YAR019W-A	170.462	83.038	83.038	171.71	172.843
YAR020C	YAR020C	40.65	6.156	6.156	41.749	42.739
YAR023C	YAR023C	371.623	290	290	372.212	372.946
tL(CAA)A	tL(CAA)A	9.581	3.104	3.104	9.849	9.436
tS(AGA)A	tS(AGA)A	9.581	3.104	3.104	9.849	9.436
YAR027W	YAR027W	539.204	458	458	539.706	540.169
YAR028W	YAR028W	536.205	455	455	536.706	537.169
YAR029W	YAR029W	78.841	12.734	12.734	80.316	81.715
YAR030C	YAR030C	178.858	92.011	92.011	179.924	181.071
YAR031W	YAR031W	728.192	647	647	728.648	728.969
YAR033W	YAR033W	536.205	455	455	536.706	537.169
YAR035W	YAR035W	1895.158	1814	1814	1895.496	1895.94
YAR035C-A	YAR035C-A	9.436	3.084	3.084	9.711	9.278
YAR042W	YAR042W	3398.158	3317	3317	3398.496	3398.94
YAR047C	YAR047C	159.513	71.167	71.167	160.866	162.011
YAR050W	YAR050W	4445.158	4364	4364	4445.496	4445.94
YAR053W	YAR053W	137.876	48.689	48.689	139.41	140.661
