tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	154.977	65.324	65.324	157.188	158.058
YAL068W-A	YAL068W-A	102.976	21.585	21.585	105.1	106.189
YAL068C	YAL068C	199.681	113	113	201.63	202.268
YAL067W-A	YAL067W-A	81.722	13.36	13.36	83.588	84.667
YAL067C	YAL067C	1614.596	1532	1532	1616.35	1616.118
YAL066W	YAL066W	149.508	59.592	59.592	151.762	152.628
YAL065C	YAL065C	222.487	137	137	224.447	224.952
YAL064W-B	YAL064W-B	216.792	131	131	218.648	219.268
YAL064C-A	YAL064C-A	216.792	131	131	218.648	219.268
YAL064W	YAL064W	128.21	38.947	38.947	130.602	131.681
YAL063C-A	YAL063C-A	133.479	43.643	43.643	135.79	136.861
YAL063C	YAL063C	3801.596	3719	3719	3803.35	3803.118
YAL062W	YAL062W	1206.596	1124	1124	1208.35	1208.118
YAL061W	YAL061W	1086.596	1004	1004	1088.35	1088.118
YAL060W	YAL060W	981.596	899	899	983.35	983.118
YAL059C-A	YAL059C-A	257.274	173	173	259.329	259.527
YAL059W	YAL059W	471.676	389	389	473.41	473.288
YAL058W	YAL058W	1341.596	1259	1259	1343.35	1343.118
YAL056C-A	YAL056C-A	188.254	101.003	101.003	190.357	190.963
YAL056W	YAL056W	2475.596	2393	2393	2477.35	2477.118
YAL055W	YAL055W	375.885	293	293	377.693	377.766
YAL054C	YAL054C	1974.596	1892	1892	1976.35	1976.118
YAL053W	YAL053W	2184.596	2102	2102	2186.35	2186.118
YAL051W	YAL051W	2976.596	2894	2894	2978.35	2978.118
YAL049C	YAL049C	573.609	491	491	575.35	575.173
YAL048C	YAL048C	1821.596	1739	1739	1823.35	1823.118
YAL047W-A	YAL047W-A	168.743	80.056	80.056	170.913	171.625
YAL047C	YAL047C	1701.596	1619	1619	1703.35	1703.118
YAL046C	YAL046C	193.95	107.001	107.001	195.981	196.594
YAL045C	YAL045C	149.508	59.592	59.592	151.762	152.628
YAL044W-A	YAL044W-A	171.483	83.038	83.038	173.696	174.308
YAL044C	YAL044C	346.035	263	263	347.912	348.12
YAL043C	YAL043C	2190.596	2108	2108	2192.35	2192.118
YAL042C-A	YAL042C-A	213.907	128	128	215.786	216.415
YAL042W	YAL042W	1080.596	998	998	1082.35	1082.118
YAL041W	YAL041W	2397.596	2315	2315	2399.35	2399.118
YAL040C	YAL040C	1575.596	1493	1493	1577.35	1577.118
YAL039C	YAL039C	642.596	560	560	644.35	644.16
YAL038W	YAL038W	1335.596	1253	1253	1337.35	1337.118
YAL037C-B	YAL037C-B	807.596	725	725	809.35	809.118
YAL037C-A	YAL037C-A	10.991	3.333	3.333	11.073	11.166
YAL037W	YAL037W	636.596	554	554	638.35	638.16
YAL036C	YAL036C	942.596	860	860	944.35	944.118
YAL035W	YAL035W	2841.596	2759	2759	2843.35	2843.118
YAL034C-B	YAL034C-B	191.071	104.002	104.002	193.178	193.802
YAL034W-A	YAL034W-A	702.596	620	620	704.35	704.118
YAL034C	YAL034C	1074.596	992	992	1076.35	1076.118
YAL033W	YAL033W	354.983	272	272	356.824	357.012
YAL032C	YAL032C	972.596	890	890	974.35	974.118
YAL031W-A	YAL031W-A	149.508	59.592	59.592	151.762	152.628
YAL031C	YAL031C	2115.596	2033	2033	2117.35	2117.118
YAL030W	YAL030W	191.071	104.002	104.002	193.178	193.802
YAL029C	YAL029C	4248.596	4166	4166	4250.35	4250.118
YAL028W	YAL028W	1419.596	1337	1337	1421.35	1421.118
YAL027W	YAL027W	618.609	536	536	620.35	620.167
YAL026C-A	YAL026C-A	271.993	188	188	274.022	274.17
YAL026C	YAL026C	3900.596	3818	3818	3902.35	3902.118
HRA1	HRA1	396.828	314	314	398.604	398.688
YAL025C	YAL025C	753.596	671	671	755.35	755.118
YAL024C	YAL024C	4140.596	4058	4058	4142.35	4142.118
YAL023C	YAL023C	2112.596	2030	2030	2114.35	2114.118
YAL022C	YAL022C	1386.596	1304	1304	1388.35	1388.118
YAL021C	YAL021C	2346.596	2264	2264	2348.35	2348.118
YAL020C	YAL020C	834.596	752	752	836.35	836.118
YAL019W-A	YAL019W-A	402.81	320	320	404.6	404.64
YAL019W	YAL019W	3228.596	3146	3146	3230.35	3230.118
YAL018C	YAL018C	810.596	728	728	812.35	812.118
YAL017W	YAL017W	3903.596	3821	3821	3905.35	3905.118
YAL016C-B	YAL016C-B	51.582	7.49	7.49	53.3	54.145
YAL016C-A	YAL016C-A	154.977	65.324	65.324	157.188	158.058
YAL016W	YAL016W	1740.596	1658	1658	1742.35	1742.118
YAL015C	YAL015C	1032.596	950	950	1034.35	1034.118
YAL014C	YAL014C	600.609	518	518	602.35	602.167
YAL013W	YAL013W	1050.596	968	968	1052.35	1052.118
YAL012W	YAL012W	1017.596	935	935	1019.35	1019.118
YAL011W	YAL011W	1710.596	1628	1628	1712.35	1712.118
YAL010C	YAL010C	1314.596	1232	1232	1316.35	1316.118
YAL009W	YAL009W	612.609	530	530	614.35	614.167
YAL008W	YAL008W	429.743	347	347	431.48	431.475
YAL007C	YAL007C	480.671	398	398	482.394	482.259
tP(UGG)A	tP(UGG)A	8.003	2.918	2.918	7.136	7.498
YAL005C	YAL005C	1761.596	1679	1679	1763.35	1763.118
YAL004W	YAL004W	480.671	398	398	482.394	482.259
YAL003W	YAL003W	453.702	371	371	455.415	455.369
snR18	snR18	12.961	3.543	3.543	12.817	12.883
YAL002W	YAL002W	3657.596	3575	3575	3659.35	3659.118
YAL001C	YAL001C	3315.596	3233	3233	3317.35	3317.118
YAR002W	YAR002W	1452.596	1370	1370	1454.35	1454.118
YAR002C-A	YAR002C-A	492.671	410	410	494.381	494.216
YAR003W	YAR003W	1113.596	1031	1031	1115.35	1115.118
YAR007C	YAR007C	1698.596	1616	1616	1700.35	1700.118
YAR008W	YAR008W	660.596	578	578	662.35	662.16
